Date,RMSSD,Entropy
2021-10-24,28.4,2.286
2021-10-25,23.568,2.109
2021-10-26,17.974,2.278
2021-10-27,19.41,2.613
2021-10-28,19.028,2.443
2021-10-29,16.754,2.253
2021-10-30,24.836,2.179
2021-10-31,21.008,2.444
2021-11-01,22.13,2.122
2021-11-02,25.757,2.141
2021-11-03,25.744,2.109
2021-11-04,24.971,1.87
2021-11-05,25.683,2.14
2021-11-06,37.783,2.363
2021-11-07,29.177,2.56
2021-11-08,24.794,2.076
2021-11-09,23.95,2.154
2021-11-10,24.595,2.112
2021-11-11,27.656,2.454
2021-11-12,30.205,2.101
2021-11-13,28.342,2.317
2021-11-14,36.846,2.539
2021-11-15,33.688,2.359
2021-11-16,34.195,2.318
2021-11-17,28.83,2.705
2021-11-18,23.863,2.19
2021-11-19,19.946,1.923
2021-11-20,17.611,2.353
2021-11-21,31.789,2.412
2021-11-22,25.23,2.361
2021-11-23,20.29,2.188
2021-11-24,22.091,2.572
2021-11-25,22.965,2.168
2021-11-26,28.927,2.481
2021-11-27,30.609,2.586
2021-11-28,34.32,2.674
2021-11-29,26.731,2.318
2021-11-30,29.434,2.019
2021-12-01,24.528,2.351
2021-12-02,27.879,2.385
2021-12-03,26.39,2.507
2021-12-04,30.279,2.328
2021-12-05,21.692,2.705
2021-12-06,24.824,2.342
2021-12-07,28.793,2.522
2021-12-08,22.56,1.989
2021-12-09,25.102,2.383
2021-12-10,21.992,2.063
2021-12-11,27.493,2.305
2021-12-12,19.954,2.349
2021-12-13,20.791,2.381
2021-12-14,19.286,1.88
2021-12-15,25.679,2.203
2021-12-16,12.029,1.708
2021-12-17,21.584,2.503
2021-12-18,23.138,2.078
2021-12-19,19.818,2.585
2021-12-20,22.816,2.559
2021-12-21,24.701,2.55
2021-12-22,24.72,2.126
2021-12-23,23.93,2.629
2021-12-24,21.25,2.551
2021-12-25,24.985,2.634
2021-12-26,34.235,2.728
2021-12-27,17.058,2.011
2021-12-28,22.403,2.386
2021-12-29,31.094,2.549
2021-12-30,21.89,2.04
2021-12-31,30.757,2.726
2022-01-01,21.421,2.491
2022-01-02,22.658,2.326
2022-01-03,21.272,2.162
2022-01-04,19.103,2.514
2022-01-05,19.137,2.391
2022-01-06,21.334,2.246
2022-01-07,20.332,2.123
2022-01-08,17.76,2.38
2022-01-09,22.153,2.1
2022-01-10,15.133,2.672
2022-01-11,26.094,2.409
2022-01-12,20.296,1.851
2022-01-13,26.626,2.191
2022-01-14,35.426,2.627
2022-01-15,30.472,2.67
2022-01-16,26.811,2.598
2022-01-17,28.329,2.48
2022-01-18,40.051,3.144
